mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-1908-5p,1.0,1.0,1.0,0,13,0.0,34,26380,0.001288855193328279,0.0
hsa-miR-1909-3p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-1909-5p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-190a-3p,1.0,1.0,1.0,0,13,0.0,14,26380,0.0005307050796057619,0.0
hsa-miR-190a-5p,1.0,1.0,1.0,0,13,0.0,455,26380,0.017247915087187263,0.0
hsa-miR-190b-3p,1.0,1.0,1.0,0,13,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-190b-5p,1.0,1.0,1.0,0,13,0.0,277,26380,0.01050037907505686,0.0
hsa-miR-191-3p,1.0,1.0,1.0,0,13,0.0,372,26380,0.014101592115238818,0.0
hsa-miR-191-5p,0.1345878698209776,1.0,1.0,6,13,0.46153846153846156,7498,26380,0.28423047763457165,1.6238176334201941
hsa-miR-1910-3p,1.0,1.0,1.0,0,13,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1910-5p,1.0,1.0,1.0,0,13,0.0,1293,26380,0.04901440485216073,0.0
hsa-miR-1911-5p,1.0,1.0,1.0,0,13,0.0,334,26380,0.012661106899166035,0.0
hsa-miR-1912-3p,1.0,1.0,1.0,0,13,0.0,385,26380,0.014594389689158454,0.0
hsa-miR-1912-5p,1.0,1.0,1.0,0,13,0.0,185,26380,0.007012888551933283,0.0
hsa-miR-1914-3p,1.0,1.0,1.0,0,13,0.0,63,26380,0.0023881728582259287,0.0
hsa-miR-1914-5p,1.0,1.0,1.0,0,13,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-1915-5p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-192-3p,1.0,1.0,1.0,0,13,0.0,440,26380,0.016679302501895376,0.0
hsa-miR-192-5p,0.0774578023689808,0.9821968754004782,1.0,3,13,0.23076923076923078,2084,26380,0.07899924184988628,2.921157537280378
hsa-miR-193a-3p,0.5391457194127033,1.0,1.0,2,13,0.15384615384615385,3554,26380,0.13472327520849128,1.1419419072767414
hsa-miR-193a-5p,0.32278165680694304,1.0,1.0,1,13,0.07692307692307693,779,26380,0.02952994692949204,2.6049175471511803
hsa-miR-193b-3p,0.15602385311083666,1.0,1.0,4,13,0.3076923076923077,4376,26380,0.16588324488248674,1.8548727323864436
hsa-miR-193b-5p,0.4655731414132296,1.0,1.0,1,13,0.07692307692307693,1241,26380,0.04704321455648219,1.6351577511932065
hsa-miR-194-3p,1.0,1.0,1.0,0,13,0.0,315,26380,0.011940864291129644,0.0
hsa-miR-194-5p,0.2518261364422498,1.0,1.0,4,13,0.3076923076923077,5269,26380,0.19973464746019712,1.540505423595194
hsa-miR-195-3p,1.0,1.0,1.0,0,13,0.0,787,26380,0.029833206974981045,0.0
hsa-miR-195-5p,0.6590364661142905,1.0,1.0,3,13,0.23076923076923078,6522,26380,0.2472327520849128,0.9334088174934542
